Site,Mollusca,Chironomid,Ephe,Plato,Tricho
1,5,10,35,25,15
2,8,25,28,20,12
3,15,40,15,10,8
4,25,55,8,5,5
5,35,70,3,2,1
6,28,60,6,4,4
7,22,50,10,6,6
8,18,45,12,8,7
9,14,38,18,12,9
10,12,32,22,15,11
11,10,28,25,18,13
12,9,22,28,20,14
13,7,18,32,23,16
14,30,65,5,3,3
15,32,68,4,2,2
16,36,72,2,1,1
17,37,74,1,1,0
18,38,76,1,0,0
19,39,78,0,0,0
20,40,80,0,0,0
21,41,82,0,0,0
22,42,84,0,0,0
23,43,86,0,0,0
24,44,88,0,0,0
25,45,90,0,0,0
26,46,92,0,0,0
27,47,94,0,0,0
28,48,96,0,0,0
29,49,98,0,0,0
30,50,100,0,0,0
31,51,102,0,0,0
32,52,104,0,0,0
33,53,106,0,0,0
34,54,108,0,0,0
35,55,110,0,0,0
36,56,112,0,0,0
37,57,114,0,0,0
38,58,116,0,0,0
39,59,118,0,0,0
40,60,120,0,0,0
41,61,122,0,0,0
42,62,124,0,0,0
43,63,126,0,0,0
44,64,128,0,0,0
45,65,130,0,0,0
46,66,132,0,0,0
47,67,134,0,0,0
48,68,136,0,0,0
49,38,78,2,1,1
50,40,80,1,1,0
